id ra dec ra1 dec1 ra2 dec2 ra3 dec3 ra4 dec4
T00000 0.0 -90.0 44.992135235867146 -88.10150516316908 135.0078647641327 -88.10150516316908 224.9921352358667 -88.10150516316911 315.00786476413344 -88.1015051631691
T00001 0.0 -87.42857142857143 18.94267867422655 -85.86233945993571 47.53704869081069 -88.18054937333365 312.4629513091899 -88.18054937333366 341.0573213257738 -85.86233945993571
T00002 36.0 -87.42857142857143 54.942678674226556 -85.86233945993571 83.53704869081069 -88.18054937333365 348.4629513091899 -88.18054937333366 17.057321325773806 -85.86233945993571
T00003 72.0 -87.42857142857143 90.94267867422654 -85.86233945993571 119.5370486908107 -88.18054937333365 24.46295130918989 -88.18054937333366 53.0573213257738 -85.86233945993571
T00004 108.0 -87.42857142857143 126.94267867422654 -85.86233945993571 155.5370486908107 -88.18054937333365 60.46295130918988 -88.18054937333366 89.0573213257738 -85.86233945993571
T00005 144.0 -87.42857142857143 162.94267867422656 -85.86233945993571 191.53704869081068 -88.18054937333365 96.46295130918988 -88.18054937333366 125.05732132577381 -85.86233945993571
T00006 180.0 -87.42857142857143 198.94267867422653 -85.86233945993571 227.53704869081068 -88.18054937333365 132.4629513091899 -88.18054937333366 161.0573213257738 -85.86233945993571
T00007 216.0 -87.42857142857143 234.94267867422656 -85.86233945993571 263.5370486908107 -88.18054937333365 168.4629513091899 -88.18054937333366 197.05732132577378 -85.86233945993571
T00008 252.0 -87.42857142857143 270.94267867422656 -85.86233945993571 299.5370486908107 -88.18054937333365 204.46295130918986 -88.18054937333366 233.0573213257738 -85.86233945993571
T00009 288.0 -87.42857142857143 306.94267867422656 -85.86233945993571 335.5370486908107 -88.18054937333365 240.46295130918986 -88.18054937333366 269.0573213257738 -85.86233945993571
T00010 324.0 -87.42857142857143 342.94267867422656 -85.86233945993571 11.537048690810687 -88.18054937333365 276.46295130918986 -88.18054937333366 305.0573213257738 -85.86233945993571
T00011 0.0 -84.85714285714286 11.717947124258643 -83.37744362876387 19.469380364786353 -85.97028677897576 340.530619635214 -85.97028677897578 348.2820528757416 -83.37744362876387
T00012 22.5 -84.85714285714286 34.217947124258636 -83.37744362876387 41.96938036478636 -85.97028677897576 3.030619635214009 -85.97028677897578 10.782052875741588 -83.37744362876387
T00013 45.0 -84.85714285714286 56.71794712425864 -83.37744362876387 64.46938036478636 -85.97028677897576 25.53061963521401 -85.97028677897578 33.282052875741584 -83.37744362876387
T00014 67.5 -84.85714285714286 79.21794712425864 -83.37744362876387 86.96938036478636 -85.97028677897576 48.030619635214 -85.97028677897578 55.78205287574159 -83.37744362876387
